,Year,Month,Day,Species,Length,Weight,Sex,Fecundity,Location,SampleID,Source
1,NA,NA,NA,RB,476,NA,female,NA,river,NA,NA
2,NA,NA,NA,RB,463,NA,female,NA,river,NA,NA
3,NA,NA,NA,RB,559,NA,female,NA,river,NA,NA
4,NA,NA,NA,RB,572,NA,female,NA,river,NA,NA
5,NA,NA,NA,RB,583,NA,female,NA,river,NA,NA
6,NA,NA,NA,RB,584,NA,female,NA,river,NA,NA
7,NA,NA,NA,RB,603,NA,female,NA,river,NA,NA
8,NA,NA,NA,RB,622,NA,female,NA,river,NA,NA
9,NA,NA,NA,RB,639,NA,female,NA,river,NA,NA
10,NA,NA,NA,RB,641,NA,female,NA,river,NA,NA
11,NA,NA,NA,RB,653,NA,female,NA,river,NA,NA
12,NA,NA,NA,RB,660,NA,female,NA,river,NA,NA
13,NA,NA,NA,RB,660,NA,female,NA,river,NA,NA
14,NA,NA,NA,RB,663,NA,female,NA,river,NA,NA
15,NA,NA,NA,RB,673,NA,female,NA,river,NA,NA
16,NA,NA,NA,RB,673,NA,female,NA,river,NA,NA
17,NA,NA,NA,RB,673,NA,female,NA,river,NA,NA
18,NA,NA,NA,RB,676,NA,female,NA,river,NA,NA
19,NA,NA,NA,RB,682,NA,female,NA,river,NA,NA
20,NA,NA,NA,RB,685.8,NA,female,NA,river,NA,NA
21,NA,NA,NA,RB,707,NA,female,NA,river,NA,NA
22,NA,NA,NA,RB,711,NA,female,NA,river,NA,NA
23,NA,NA,NA,RB,711,NA,female,NA,river,NA,NA
24,NA,NA,NA,RB,775,NA,female,NA,river,NA,NA
25,NA,NA,NA,RB,640,NA,female,NA,river,NA,NA
26,NA,NA,NA,RB,710,NA,female,NA,river,NA,NA
27,NA,NA,NA,RB,711,NA,female,NA,river,NA,NA
28,NA,NA,NA,RB,737,NA,female,NA,river,NA,NA
29,NA,NA,NA,RB,737,NA,female,NA,river,NA,NA
30,NA,NA,NA,RB,737,NA,female,NA,river,NA,NA
31,NA,NA,NA,RB,741,NA,female,NA,river,NA,NA
32,NA,NA,NA,RB,750,NA,female,NA,river,NA,NA
33,NA,NA,NA,RB,762,NA,female,NA,river,NA,NA
34,NA,NA,NA,RB,829,NA,female,NA,river,NA,NA
35,NA,NA,NA,RB,838,NA,female,NA,river,NA,NA
36,NA,NA,NA,RB,724,NA,female,NA,river,NA,NA
37,NA,NA,NA,RB,530,NA,male,NA,river,NA,NA
38,NA,NA,NA,RB,530,NA,male,NA,river,NA,NA
39,NA,NA,NA,RB,556,NA,male,NA,river,NA,NA
40,NA,NA,NA,RB,574,NA,male,NA,river,NA,NA
41,NA,NA,NA,RB,576,NA,male,NA,river,NA,NA
42,NA,NA,NA,RB,582,NA,male,NA,river,NA,NA
43,NA,NA,NA,RB,619,NA,male,NA,river,NA,NA
44,NA,NA,NA,RB,633,NA,male,NA,river,NA,NA
45,NA,NA,NA,RB,648,NA,male,NA,river,NA,NA
46,NA,NA,NA,RB,655,NA,male,NA,river,NA,NA
47,NA,NA,NA,RB,664,NA,male,NA,river,NA,NA
48,NA,NA,NA,RB,711,NA,male,NA,river,NA,NA
49,NA,NA,NA,RB,750,NA,male,NA,river,NA,NA
50,NA,NA,NA,RB,754.8,NA,male,NA,river,NA,NA
51,NA,NA,NA,RB,717,NA,male,NA,river,NA,NA
52,NA,NA,NA,RB,794,NA,male,NA,river,NA,NA
53,NA,NA,NA,RB,853,NA,male,NA,river,NA,NA
54,NA,NA,NA,RB,780,NA,male,NA,river,NA,NA
55,1979,NA,NA,RB,774.7,NA,female,NA,river,NA,NA
56,1979,NA,NA,RB,812.8,NA,female,NA,river,NA,NA
57,1979,NA,NA,RB,800.1,NA,female,NA,river,NA,NA
58,1979,NA,NA,RB,800.1,NA,female,NA,river,NA,NA
59,1979,NA,NA,RB,977.9,NA,male,NA,river,NA,NA
60,1979,NA,NA,RB,812.8,NA,male,NA,river,NA,NA
61,1979,NA,NA,RB,901.7,NA,male,NA,river,NA,NA
62,1979,NA,NA,RB,876.3,NA,male,NA,river,NA,NA
63,1979,NA,NA,RB,800.1,NA,male,NA,river,NA,NA
64,1979,NA,NA,RB,889,NA,male,NA,river,NA,NA
65,1979,NA,NA,RB,711.2,NA,male,NA,river,NA,NA
66,1980,NA,NA,RB,760,NA,female,NA,river,NA,NA
67,1980,NA,NA,RB,810,NA,female,NA,river,NA,NA
68,1980,NA,NA,RB,830,NA,female,NA,river,NA,NA
69,1980,NA,NA,RB,750,NA,female,NA,river,NA,NA
70,1980,NA,NA,RB,895,NA,female,NA,river,NA,NA
71,1980,NA,NA,RB,830,NA,male,NA,river,NA,NA
72,1980,NA,NA,RB,920,NA,male,NA,river,NA,NA
73,1980,NA,NA,RB,820,NA,male,NA,river,NA,NA
