Year,Month,Day,Species,Length,Weight,Sex,Fecundity,Location,SampleID,Source,Comment
NA,NA,NA,RB,476,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,463,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,559,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,572,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,583,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,584,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,603,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,622,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,639,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,641,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,653,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,660,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,660,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,663,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,673,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,673,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,673,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,676,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,682,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,685,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,707,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,711,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,711,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,775,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,640,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,710,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,711,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,737,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,737,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,737,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,741,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,750,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,762,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,829,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,838,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,724,NA,female,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,530,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,530,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,556,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,574,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,576,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,582,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,619,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,633,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,648,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,655,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,664,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,711,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,750,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,754,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,717,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,794,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,853,NA,male,NA,river,NA,NA,1949 - 59
NA,NA,NA,RB,780,NA,male,NA,river,NA,NA,1949 - 59
1979,NA,NA,RB,774,NA,female,NA,river,NA,NA,NA
1979,NA,NA,RB,812,NA,female,NA,river,NA,NA,NA
1979,NA,NA,RB,800,NA,female,NA,river,NA,NA,NA
1979,NA,NA,RB,800,NA,female,NA,river,NA,NA,NA
1979,NA,NA,RB,977,NA,male,NA,river,NA,NA,NA
1979,NA,NA,RB,812,NA,male,NA,river,NA,NA,NA
1979,NA,NA,RB,901,NA,male,NA,river,NA,NA,NA
1979,NA,NA,RB,876,NA,male,NA,river,NA,NA,NA
