Year,Species,Sex,Weight,Length,Source
2018,RB,m,1.5,56,Biological Data
2018,RB,m,1.6,57,Biological Data
2018,RB,m,1.1,46.5,Biological Data
2018,RB,m,1.55,53.5,Biological Data
2018,RB,m,1.5,54,Biological Data
2018,RB,m,1.7,54,Biological Data
2018,RB,m,1.5,53,Biological Data
2018,RB,m,1.7,55,Biological Data
2018,RB,m,1.4,53,Biological Data
2018,RB,m,1.7,55.5,Biological Data
2018,RB,m,1.2,51,Biological Data
2018,RB,m,1.5,53.5,Biological Data
2018,RB,m,1.4,53,Biological Data
2018,RB,m,1.6,54,Biological Data
2018,RB,m,1.6,54,Biological Data
2018,RB,f,,48.5,Biological Data
2018,RB,m,4.9,72,Biological Data
2018,RB,m,1.25,53.5,Biological Data
2018,RB,f,1.6,54,Biological Data
2018,RB,m,1.8,56.5,Biological Data
2019,RB,m,2,59.1,Biological Data
2019,RB,m,1.8,56.55,Biological Data
2019,RB,m,1.8,56,Biological Data
2019,RB,m,,51.5,Biological Data
2019,RB,m,1.2,54.3,Biological Data
2019,RB,m,1.1,48.5,Biological Data
2019,RB,m,1.5,54.5,Biological Data
2019,RB,m,1.95,57,Biological Data
2019,RB,m,1.2,51.6,Biological Data
2019,RB,,1.6,56,Biological Data
2019,RB,m,1.25,53,Biological Data
2019,RB,m,1.75,58,Biological Data
2019,RB,m,1.5,55,Biological Data
2019,RB,m,1,49,Biological Data
2019,RB,m,1.2,52.5,Biological Data
2019,RB,m,2.15,59.5,Biological Data
2019,RB,m,1.6,53.5,Biological Data
2019,RB,m,1.45,51,Biological Data
2019,RB,f,1.2,49.5,Biological Data
2019,RB,f,1.1,49,Biological Data
2019,RB,f,1.65,55,Biological Data
2019,RB,m,1.75,53.5,Biological Data
2019,RB,f,1.05,48,Biological Data
2019,RB,f,1.75,57,Biological Data
2019,RB,f,1.45,53,Biological Data
2019,RB,f,,49,Biological Data
2019,RB,f,1.1,455,Biological Data
2019,RB,f,1.4,52,Biological Data
2019,RB,f,1.3,50.5,Biological Data
2019,RB,m,1,49,Biological Data
2019,RB,m,1.6,52.5,Biological Data
2019,RB,m,1.6,57,Biological Data
2019,RB,f,1.35,54,Biological Data
2019,RB,f,1.15,49.5,Biological Data
2019,RB,f,1.2,50.5,Biological Data
2019,RB,f,1.85,55.5,Biological Data
2019,RB,m,1.56,54,Biological Data
2019,RB,,8,53,Biological Data
2019,RB,m,1.1,49,Biological Data
2020,RB,m,1.9,57,Biological Data
2020,RB,m,1.65,56.5,Biological Data
2020,RB,m,1.7,55.5,Biological Data
2020,RB,m,1.15,51,Biological Data
2020,RB,m,1.7,58,Biological Data
2020,RB,m,2.35,64,Biological Data
2020,RB,f,1.2,53.5,Biological Data
2020,RB,m,1.8,59.5,Biological Data
2020,RB,m,1.5,53.5,Biological Data
2020,RB,m,1.3,52.5,Biological Data
2020,RB,m,1.6,55,Biological Data
2020,RB,m,1.25,52,Biological Data
2020,RB,m,1.5,54,Biological Data
2020,RB,m,1.4,50.5,Biological Data
2020,RB,m,1.4,52,Biological Data
2020,RB,m,1.2,51,Biological Data
2020,RB,m,1.6,54.5,Biological Data
2020,RB,f,1.25,50,Biological Data
2020,RB,m,1.5,56,Biological Data
2020,RB,m,1.1,52,Biological Data
2020,RB,m,1.1,51,Biological Data
2020,RB,m,1.45,54.5,Biological Data
2020,RB,m,1.3,52,Biological Data
2020,RB,m,1.4,56,Biological Data
2020,RB,m,0.9,48,Biological Data
2020,RB,f,1.35,53,ONA
2020,RB,f,1.2,49,ONA
2021,RB,f,1.5,57,Biological Data
2021,RB,m,1.8,58.5,Biological Data
2021,RB,m,1.5,51.5,Biological Data
2021,RB,m,1.3,53,Biological Data
2021,RB,m,1.4,53,Biological Data
2021,RB,m,1,49.5,Biological Data
2021,RB,f,1.4,51.5,Biological Data
2021,RB,m,1.2,52.5,Biological Data
2021,RB,m,1.2,49.5,Biological Data
2021,RB,m,1.2,52,Biological Data
2021,RB,m,1.4,55,Biological Data
2021,RB,f,1.2,53,Biological Data
2021,RB,m,1.25,53.5,Biological Data
2021,RB,f,1.15,50,Biological Data
2021,RB,m,1.3,55,Biological Data
2021,RB,f,1.1,50,Biological Data
2021,RB,f,1,52,Biological Data
2021,RB,m,1.15,52,Biological Data
