StartYear,EndYear,Species,Harvested,Released,MinWeight,MaxWeight
1999,2000,BT,1324,4352,0,2
2000,2001,BT,1243,3151,0,2
2001,2002,BT,1106,3695,0,2
2002,2003,BT,1415,4690,0,2
2003,2004,BT,3285,3881,0,2
2004,2005,BT,2427,3634,0,2
2005,2006,BT,1527,2639,0,2
2006,2007,BT,3296,4774,0,2
2007,2008,BT,4080,4400,0,2
2008,2009,BT,2815,3755,0,2
2009,2010,BT,2811,3929,0,2
2010,2011,BT,2809,4732,0,2
2011,2012,BT,2874,4903,0,2
2012,2013,BT,4012,6483,0,2
2013,2014,BT,4246,9056,0,2
2014,2015,BT,5539,7131,0,2
2015,2016,BT,3277,3718,0,2
2016,2017,BT,2874,2866,0,2
1999,2000,BT,4230,3836,2,5
2000,2001,BT,3629,3321,2,5
2001,2002,BT,3063,2238,2,5
2002,2003,BT,3693,3632,2,5
2003,2004,BT,2646,1766,2,5
2004,2005,BT,2813,1765,2,5
2005,2006,BT,2207,1613,2,5
2006,2007,BT,3364,2024,2,5
2007,2008,BT,3277,2179,2,5
2008,2009,BT,2463,1988,2,5
2009,2010,BT,3634,2444,2,5
2010,2011,BT,3384,2806,2,5
2011,2012,BT,4487,3329,2,5
2012,2013,BT,5137,4158,2,5
2013,2014,BT,4027,5819,2,5
2014,2015,BT,1761,1672,2,5
2015,2016,BT,980,613,2,5
2016,2017,BT,537,366,2,5
1999,2000,BT,773,687,5,7
2000,2001,BT,474,468,5,7
2001,2002,BT,413,283,5,7
2002,2003,BT,548,496,5,7
2003,2004,BT,387,301,5,7
2004,2005,BT,507,721,5,7
2005,2006,BT,513,317,5,7
2006,2007,BT,441,195,5,7
2007,2008,BT,549,460,5,7
2008,2009,BT,440,310,5,7
2009,2010,BT,566,675,5,7
2010,2011,BT,634,789,5,7
2011,2012,BT,923,1179,5,7
2012,2013,BT,968,719,5,7
2013,2014,BT,771,1385,5,7
2014,2015,BT,185,169,5,7
2015,2016,BT,59,762,5,7
2016,2017,BT,12,37,5,7
1999,2000,BT,66,76,7,Inf
2000,2001,BT,57,107,7,Inf
2001,2002,BT,40,29,7,Inf
2002,2003,BT,69,73,7,Inf
2003,2004,BT,41,79,7,Inf
2004,2005,BT,63,260,7,Inf
2005,2006,BT,73,94,7,Inf
2006,2007,BT,34,26,7,Inf
2007,2008,BT,61,36,7,Inf
2008,2009,BT,60,9,7,Inf
2009,2010,BT,48,63,7,Inf
2010,2011,BT,63,163,7,Inf
2011,2012,BT,94,131,7,Inf
2012,2013,BT,97,92,7,Inf
2013,2014,BT,67,55,7,Inf
2014,2015,BT,0,16,7,Inf
2015,2016,BT,8,0,7,Inf
2016,2017,BT,0,12,7,Inf
1999,2000,RB,7748,15956,0,2
2000,2001,RB,6422,11598,0,2
2001,2002,RB,5668,9881,0,2
2002,2003,RB,5355,10227,0,2
2003,2004,RB,6029,8580,0,2
2004,2005,RB,5617,8891,0,2
2005,2006,RB,4111,6981,0,2
2006,2007,RB,7569,9832,0,2
2007,2008,RB,9439,12417,0,2
2008,2009,RB,7687,9435,0,2
2009,2010,RB,5825,10088,0,2
2010,2011,RB,7101,12148,0,2
2011,2012,RB,5966,12664,0,2
2012,2013,RB,7018,12695,0,2
2013,2014,RB,9931,20128,0,2
2014,2015,RB,16279,32807,0,2
2015,2016,RB,8323,10994,0,2
2016,2017,RB,7856,8626,0,2
1999,2000,RB,1567,5347,2,5
2000,2001,RB,1624,3328,2,5
2001,2002,RB,1426,2698,2,5
2002,2003,RB,2066,3871,2,5
2003,2004,RB,2140,3012,2,5
2004,2005,RB,2020,2804,2,5
2005,2006,RB,1412,2532,2,5
2006,2007,RB,2207,2481,2,5
2007,2008,RB,2300,3106,2,5
2008,2009,RB,2150,2628,2,5
2009,2010,RB,2884,4646,2,5
2010,2011,RB,3061,5733,2,5
2011,2012,RB,3181,5687,2,5
2012,2013,RB,3282,5304,2,5
2013,2014,RB,2733,5466,2,5
2014,2015,RB,1584,1704,2,5
2015,2016,RB,754,644,2,5
2016,2017,RB,582,533,2,5
1999,2000,RB,1107,2679,5,7
2000,2001,RB,581,989,5,7
2001,2002,RB,513,645,5,7
2002,2003,RB,583,923,5,7
2003,2004,RB,1138,1232,5,7
2004,2005,RB,1312,1283,5,7
2005,2006,RB,941,903,5,7
2006,2007,RB,1033,1074,5,7
2007,2008,RB,774,1013,5,7
2008,2009,RB,462,712,5,7
2009,2010,RB,979,1335,5,7
2010,2011,RB,1703,2783,5,7
2011,2012,RB,2108,3099,5,7
2012,2013,RB,2168,2747,5,7
2013,2014,RB,1537,2934,5,7
2014,2015,RB,330,362,5,7
2015,2016,RB,117,129,5,7
2016,2017,RB,20,37,5,7
1999,2000,RB,940,1289,7,Inf
2000,2001,RB,408,581,7,Inf
2001,2002,RB,217,288,7,Inf
2002,2003,RB,144,210,7,Inf
2003,2004,RB,406,504,7,Inf
2004,2005,RB,658,553,7,Inf
2005,2006,RB,556,449,7,Inf
2006,2007,RB,610,561,7,Inf
2007,2008,RB,242,257,7,Inf
2008,2009,RB,92,130,7,Inf
2009,2010,RB,184,289,7,Inf
2010,2011,RB,466,909,7,Inf
2011,2012,RB,927,1267,7,Inf
2012,2013,RB,860,1011,7,Inf
2013,2014,RB,601,777,7,Inf
2014,2015,RB,88,56,7,Inf
2015,2016,RB,20,8,7,Inf
2016,2017,RB,4,12,7,Inf
